ORIN,LOCAL,CANT
1000423873,100,2
1000056612,100,2
1000421797,100,2
1000143074,100,2
1000423863,100,2
1000001445,100,2
1000245663,100,2
1000501596,100,2
1000027444,100,2
1000004823,100,2
1000003681,100,2
1000370862,100,2
1000001248,100,2
1000421804,100,2
1000444049,100,2
1000421724,100,2
1000436088,100,2
1000423138,100,2
1000160379,100,2
1000506693,100,2
1000233522,100,2
1000351761,100,2
1000060400,100,2
1000001377,100,2
1000347646,100,2
1000421805,100,2
1000051534,100,2
1000062182,100,2
1000415603,100,2
1000003790,100,2
1000416066,100,2
1000062278,100,2
1000421796,100,2
1000433246,100,2
1000101193,100,2
1000501595,100,2
1000056590,100,2
1000421823,100,2
1000043282,100,2
1000421810,100,2
1000433578,100,2
1000103647,100,2
1000421779,100,2
1000061582,100,2
1000501587,100,2
1000160563,100,2
1000423939,100,2
1000351756,100,2
1000024025,100,2
1000001246,100,2
1000059768,100,2
1000004399,100,2
1000160364,100,2
1000409534,100,2
1000190899,100,2
1000051535,100,2
1000433266,100,2
1000098242,100,2
1000101134,100,2
1000422024,100,2
1000098245,100,2
1000421816,100,2
1000048227,100,2
1000510773,100,2
1000453925,100,2
1000501609,100,2
1000001462,100,2
1000053174,100,2
1000059770,100,2
1000217118,100,2
1000087076,100,2
1000501613,100,2
1000053794,100,2
1000421745,100,2
1000421728,100,2
1000351754,100,2
1000051571,100,2
1000435380,100,2
1000027348,100,2
1000001286,100,2
1000087080,100,2
1000052190,100,2
1000143646,100,2
1000055066,100,2
1000436091,100,2
1000501600,100,2
1000433638,100,2
1000511072,100,2
1000349847,100,2
1000423927,100,2
1000101491,100,2
1000430967,100,2
1000053164,100,2
1000228078,100,2
1000409532,100,2
1000059767,100,2
1000444059,100,2
1000155939,100,2
1000511070,100,2
1000423936,100,2
1000346989,100,2
1000510768,100,2
1000057451,100,2
1000053301,100,2
1000005062,100,2
1000256625,100,2
1000423849,100,2
1000434950,100,2
1000434953,100,2
1000433270,100,2
1000433261,100,2
1000204940,100,2
1000101039,100,2
1000156267,100,2
1000433245,100,2
1000058877,100,2
1000506709,100,2
1000098474,100,2
1000423861,100,2
1000421790,100,2
1000160873,100,2
1000338418,100,2
1000005814,100,2
1000495199,100,2
1000050839,100,2
1000098381,100,2
1000348590,100,2
1000043385,100,2
1000001288,100,2
1000421817,100,2
1000042276,100,2
1000048242,100,2
1000001505,100,2
1000351766,100,2
1000049046,100,2
1000297321,100,2
1000434954,100,2
1000433269,100,2
1000495263,100,2
