ESTADÍSTICO,ORIN,DESCRIPCIÓN,PRECIO REGULAR,PRECIO PLUS,PRECIO MEDIANO AYER,% DTO,ALERTA PRECIO 1,ALERTA PRECIO 2,IVA,PRECIO APP ,APP % DTO,VENTA Q REGULAR DIARIA,VENTA Q PROMO DIARIA,VENTA ESTIMADA DIARIA,ESTIMADO DE VENTA,ACELERACIÓN,VALOR ESTIMADO DE VENTA ,ESTIMADO CERCANIAS,GO,ALERTA FORECAST,CANTIDAD POR INNER,LOCALES ACTIVOS* Q INNER,ALERTA INNER,STOCK UNIDADES,ALERTA COMPRA,COSTO SIN IVA REGULAR,DESCUENTO COMPRA,COSTO SIN IVA OFERTA,VIGENCIA DESCUENTO,% SELL OUT,VENTA AL COSTO SIN IVA,COSTO FINAL CON PROMO,MARGEN GB1 PROMO,MARGEN GB1 TEÓRICO,INV PUNTOS PORCENTUALES,INVERSIÓN TATA,RETORNO ACUERDO,COSTO FINAL PROMO CON RETORNO,MARGEN GB2,Precio con 20% BBVA Comunidad Plus - OFERTATA,Status Comercial ,Observaciones,
237201000,1000048027,LEVADURA FRESCA FLEISCHMANN 60 G,59,45,59,"23,73%",REVISAR,,22%,,"100,00%",140,188,214,3.000,"1,1",135.000,,,,12,948,,59,COMPRAR,"29,28","20,00%","$23,42",,,,"$23,42","36,49%","39,45%","-2,96%","-12,47%","20,00%","$18,74","49,20%",36,PONER STATUS,,
239849000,1000048129,MASA PARA EMPANADAS QUE FACIL X8 U 200 G,59,35,59,"40,68%",,,22%,,"100,00%",824,1.550,1.786,25.000,"2,3",875.000,,,,1,81,,59,COMPRAR,"23,07","15,00%","$19,61",,,,"$19,61","31,65%","52,30%","-20,65%","-50,76%","20,00%","$15,69","45,32%",28,PONER STATUS,,
,,P&L,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
160071000,1000431749,SHAMPOO POLYANA BALANCE 300 ML.,63,40,63,"36,51%",,,22%,,"100,00%",9,60,71,1.000,"3,8",40.000,,,,24,840,,63,COMPRAR,"38,16","35,01%","$24,80",,,24.800,"$24,80","24,36%","26,10%","-1,74%","-4,78%","30,10%","$17,34","47,13%",32,PONER STATUS,,PONER STATUS
160700000,1000432545,ACONDICIONADOR POLYANA CERAMIDAS 300 ML.,63,40,63,"36,51%",,,22%,,"100,00%",19,68,71,1.000,"4,5",40.000,,,,24,1.776,REVISAR,63,COMPRAR,"38,16","35,01%","$24,80",,,24.800,"$24,80","24,36%","26,10%","-1,74%","-4,78%","30,10%","$17,34","47,13%",32,PONER STATUS,,PONER STATUS
160074000,1000431752,SHAMPOO POLYANA CERAMIDAS DOYPACK 300 ML.,63,40,63,"36,51%",,,,,,13,58,71,1.000,"3,9",40.000,,,,24,840,,63,COMPRAR,"38,16","35,01%","$24,80",,,,"$24,80","38,00%","39,43%","-1,43%","-3,91%","30,10%","$17,34","56,66%",32,,,
160075000,1000431753,ACONDICIONADOR POLYANA BALANCE DOYPACK 300 ML.,63,40,63,"36,51%",,,22%,,"100,00%",11,72,71,1.000,"4,9",40.000,,,,24,1.776,REVISAR,63,COMPRAR,"38,16","35,01%","$24,80",,,24.800,"$24,80","24,36%","26,10%","-1,74%","-4,78%","30,10%","$17,34","47,13%",32,PONER STATUS,,PONER STATUS
161302000,1000038410,QUITAESMALTE CARDINAL 60.00 ML 2020202,37,30,37,"18,92%",REVISAR,,22%,,"100,00%",116,189,143,2.000,"2,4",60.000,,,,15,1.215,,37,COMPRAR,"18,00",3%,"$17,46",,,34.920,"$17,46","29,00%","40,65%","-11,65%","-61,59%","26,50%","$12,83","47,81%",24,PONER STATUS,,PONER STATUS
160782000,1000038061,DESODORANTE SPRAY ALMA DE FLORES 90.00 ML 2020202,65,40,65,"38,46%",,,22%,,"100,00%",49,396,714,10.000,"52,9",400.000,,,,12,972,,65,COMPRAR,"26,22",0%,"$26,22",,,262.200,"$26,22","20,03%","50,79%","-30,76%","-79,97%","25,90%","$19,43","40,74%",32,PONER STATUS,,PONER STATUS
160301000,1000037700,POLVO PEDICO XANAPIE EXTREME 60.00 G 2020202,60,40,59,"33,33%",,,22%,,"100,00%",32,90,143,2.000,"2,7",80.000,,,,12,948,,59,COMPRAR,"30,91","17,70%","$25,44",,,50.878,"$25,44","22,41%","37,15%","-14,74%","-44,22%","32,95%","$17,06","47,98%",32,PONER STATUS,,PONER STATUS
