ESTADÍSTICO,ORIN,DESCRIPCIÓN,PRECIO REGULAR,PRECIO PLUS,PRECIO MEDIANO AYER,% DTO,ALERTA PRECIO 1,ALERTA PRECIO 2,IVA,PRECIO APP ,APP % DTO,VENTA Q REGULAR DIARIA,VENTA Q PROMO DIARIA,VENTA ESTIMADA DIARIA,ESTIMADO DE VENTA,ACELERACIÓN,VALOR ESTIMADO DE VENTA ,ESTIMADO CERCANIAS,GO,ALERTA FORECAST,CANTIDAD POR INNER,LOCALES ACTIVOS* Q INNER,ALERTA INNER,STOCK UNIDADES,ALERTA COMPRA,COSTO SIN IVA REGULAR,DESCUENTO COMPRA,COSTO SIN IVA OFERTA,VIGENCIA DESCUENTO,% SELL OUT,VENTA AL COSTO SIN IVA,COSTO FINAL CON PROMO,MARGEN GB1 PROMO,MARGEN GB1 TEÓRICO,INV PUNTOS PORCENTUALES,INVERSIÓN TATA,RETORNO ACUERDO,COSTO FINAL PROMO CON RETORNO,MARGEN GB2,Precio con 20% BBVA Comunidad Plus - OFERTATA,Status Comercial ,Observaciones,
110087000,1000435443,SET POTES CLIC PLASUTIL,25,20,30,"20,00%",,,22%,,"100,00%",3,21,43,600,,12.000,,,REVISAR,144,0,,30,COMPRAR,"11,95",,"$11,95",,,7.170,"$11,95","27,11%","41,68%","-14,58%","-72,90%",,"$11,95","27,11%",16,PONER STATUS,,
110085000,1000435224,RECIPIENTES PLASUTIL SURTIDOS,40,35,49,"12,50%",,,22%,,"100,00%",12,33,36,500,,17.500,,,,120,0,,49,COMPRAR,"20,68",,"$20,68",,,10.340,"$20,68","27,92%","36,93%","-9,01%","-72,08%",,"$20,68","27,92%",28,PONER STATUS,,
121026000,1000435225,CUBIERTOS SURTIDOS SIMONAGGIO TREVISO,39,30,39,"23,08%",,,22%,,"100,00%",6,63,107,1.500,,45.000,,,,260,15.340,REVISAR,39,COMPRAR,"11,60",,"$11,60",,,17.400,"$11,60","52,83%","63,71%","-10,89%","-47,17%",,"$11,60","52,83%",24,PONER STATUS,,
101739000,1000504891,VASOS AGUA VIDRIO,49,40,49,"18,37%",,,22%,,"100,00%",177,,286,4.000,,160.000,,,,80,4.160,REVISAR,49,COMPRAR,"19,93",,"$19,93",,,79.720,"$19,93","39,21%","50,38%","-11,16%","-60,79%",,"$19,93","39,21%",32,PONER STATUS,,
39363000,1000008403,REPASADOR ESTAMPADO 50G PC. EN CASA 38X63C (X),59,50,59,"15,25%",,,22%,,"100,00%",5,291,357,5.000,,250.000,,,,15,1.215,,59,COMPRAR,"17,45",,"$17,45",,,87.250,"$17,45","57,42%","63,92%","-6,49%","-42,58%",,"$17,45","57,42%",40,PONER STATUS,,
101565000,1000211047,VAJILLA EN CERAMICA SURTIDA ENCASA,59,50,59,"15,25%",,,22%,,"100,00%",4,,29,400,,20.000,,,,506,0,,59,COMPRAR,"42,60",,"$42,60",,,17.040,"$42,60","-3,94%","11,91%","-15,86%","-103,94%",,"$42,60","-3,94%",40,PONER STATUS,,
200528000,1000045460,BANDERIN CELESTE DE PAPEL 8 UNID,30,30,40,"0,00%",,,22%,,"100,00%",2,,2,30,,900,,,,12,612,REVISAR,40,,"22,00",,"$22,00",,,660,"$22,00","10,53%","10,53%","0,00%",,,"$22,00","10,53%",24,PONER STATUS,,
200639000,1000261046,BANDERIN DE PAPEL ESPACIO,30,30,40,"0,00%",,,22%,,"100,00%",2,3,2,30,,900,,,,12,612,REVISAR,40,,"21,00",,"$21,00",,,630,"$21,00","14,60%","14,60%","0,00%",,,"$21,00","14,60%",24,PONER STATUS,,
200586000,1000152516,BANDERIN DE PAPEL FUTBOL,30,30,20,"0,00%",,REVISAR,22%,,"100,00%",,1,2,30,,900,,,REVISAR,12,0,,20,COMPRAR,"19,00",,"$19,00",,,570,"$19,00","22,73%","22,73%","0,00%",,,"$19,00","22,73%",24,PONER STATUS,,
200585000,1000152517,BANDERIN DE PAPEL PANDA,30,30,40,"0,00%",,,22%,,"100,00%",2,3,2,30,,900,,,,12,600,REVISAR,40,,"21,00",,"$21,00",,,630,"$21,00","14,60%","14,60%","0,00%",,,"$21,00","14,60%",24,PONER STATUS,,
200603000,1000152518,BANDERIN DE PAPEL SIRENA,30,30,40,"0,00%",,,22%,,"100,00%",1,3,2,30,,900,,,,12,612,REVISAR,40,,"21,00",,"$21,00",,,630,"$21,00","14,60%","14,60%","0,00%",,,"$21,00","14,60%",24,PONER STATUS,,
200529000,1000045461,BANDERIN ROSADO DE PAPEL 8 UD,30,30,40,"0,00%",,,22%,,"100,00%",,1,2,30,,900,,,REVISAR,12,0,,40,,"21,00",,"$21,00",,,630,"$21,00","14,60%","14,60%","0,00%",,,"$21,00","14,60%",24,PONER STATUS,,
200545000,1000045477,BOLSA CELESTE PARA SORPRESAS 23X16 CMS 10 UNID,30,30,60,"0,00%",,,22%,,"100,00%",,5,3,35,,1.050,,,,48,0,,60,,"22,00",,"$22,00",,,770,"$22,00","10,53%","10,53%","0,00%",,,"$22,00","10,53%",24,PONER STATUS,,
200613000,1000152532,BOLSA DE PAPEL 15 CMS PANDA,30,30,40,"0,00%",,,22%,,"100,00%",,1,3,35,,1.050,,,REVISAR,24,0,,40,,"31,00",,"$31,00",,,1.085,"$31,00","-26,07%","-26,07%","0,00%",,,"$31,00","-26,07%",24,PONER STATUS,,
200647000,1000261048,BOLSA PARA SORPRESAS ESPACIO,30,30,60,"0,00%",,,22%,,"100,00%",2,6,3,35,,1.050,,,,48,0,,60,,"22,00",,"$22,00",,,770,"$22,00","10,53%","10,53%","0,00%",,,"$22,00","10,53%",24,PONER STATUS,,
200610000,1000152534,BOLSA PARA SORPRESAS FUTBOL,30,30,30,"0,00%",,,22%,,"100,00%",,2,3,35,,1.050,,,,48,0,,30,COMPRAR,"21,00",,"$21,00",,,735,"$21,00","14,60%","14,60%","0,00%",,,"$21,00","14,60%",24,PONER STATUS,,
200609000,1000152535,BOLSA PARA SORPRESAS PANDA,30,30,60,"0,00%",,,22%,,"100,00%",2,5,3,35,,1.050,,,,48,0,,60,,"23,00",,"$23,00",,,805,"$23,00","6,47%","6,47%","0,00%",,,"$23,00","6,47%",24,PONER STATUS,,
200608000,1000152536,BOLSA PARA SORPRESAS SIRENA,30,30,60,"0,00%",,,22%,,"100,00%",4,4,3,35,,1.050,,,REVISAR,48,0,,60,,"23,00",,"$23,00",,,805,"$23,00","6,47%","6,47%","0,00%",,,"$23,00","6,47%",24,PONER STATUS,,
200546000,1000045478,BOLSA ROSADA PARA SORPRESAS 23X16 CMS 10 UNID,30,30,60,"0,00%",,,22%,,"100,00%",2,5,3,35,,1.050,,,,48,0,,60,,"23,00",,"$23,00",,,805,"$23,00","6,47%","6,47%","0,00%",,,"$23,00","6,47%",24,PONER STATUS,,
200615000,1000152540,CAJA PARA POP FUTBOL,30,30,30,"0,00%",,,22%,,"100,00%",2,4,3,40,,1.200,,,,12,0,,30,COMPRAR,"36,00",,"$36,00",,,1.440,"$36,00","-46,40%","-46,40%","0,00%",,,"$36,00","-46,40%",24,PONER STATUS,,
200591000,1000152511,CAJA PARA POP PANDA,30,30,60,"0,00%",,,22%,,"100,00%",,3,3,40,,1.200,,,,12,0,,60,,"36,00",,"$36,00",,,1.440,"$36,00","-46,40%","-46,40%","0,00%",,,"$36,00","-46,40%",24,PONER STATUS,,
200590000,1000152512,CAJA PARA POP SIRENA,30,30,60,"0,00%",,,22%,,"100,00%",,3,3,40,,1.200,,,,12,0,,60,,"36,00",,"$36,00",,,1.440,"$36,00","-46,40%","-46,40%","0,00%",,,"$36,00","-46,40%",24,PONER STATUS,,
200555000,1000045487,CAJA VERDE PARA POP 13X8X19 CM 4 UNID,30,30,30,"0,00%",,,22%,,"100,00%",,3,3,40,,1.200,,,,12,0,,30,COMPRAR,"30,00",,"$30,00",,,1.200,"$30,00","-22,00%","-22,00%","0,00%",,,"$30,00","-22,00%",24,PONER STATUS,,
200550000,1000045482,CAJA VERDE PARA SORPRESAS 7.5X5.5 CM 6 UNID,30,30,50,"0,00%",,,22%,,"100,00%",,4,3,40,,1.200,,,,24,0,,50,,"26,00",,"$26,00",,,1.040,"$26,00","-5,73%","-5,73%","0,00%",,,"$26,00","-5,73%",24,PONER STATUS,,
200241000,1000510464,PEGATINA 2.5CM*13M/ROLLO,30,30,49,"0,00%",,,22%,,"100,00%",2,48,7,100,,3.000,,,,12,0,,49,COMPRAR,"14,00",,"$14,00",,,1.400,"$14,00","43,07%","43,07%","0,00%",,,"$14,00","43,07%",24,PONER STATUS,,
200534000,1000045466,PLATO CELESTE DE CARTON X6 UNID 18 CMS,30,30,40,"0,00%",,,22%,,"100,00%",,,1,20,,600,,,,12,0,,40,,"18,00",,"$18,00",,,360,"$18,00","26,80%","26,80%","0,00%",,,"$18,00","26,80%",24,PONER STATUS,,
200645000,1000261050,PLATO DESCARTABLE 18 CM ESPACIO,30,30,40,"0,00%",,,22%,,"100,00%",,12,2,30,,900,,,,12,0,,40,,"23,00",,"$23,00",,,690,"$23,00","6,47%","6,47%","0,00%",,,"$23,00","6,47%",24,PONER STATUS,,
200595000,1000152523,PLATO DESCARTABLE 18 CMS PANDA,30,30,40,"0,00%",,,22%,,"100,00%",,2,1,10,,300,,,,12,0,,40,,"18,00",,"$18,00",,,180,"$18,00","26,80%","26,80%","0,00%",,,"$18,00","26,80%",24,PONER STATUS,,
200596000,1000152524,PLATO DESCARTABLE 18 CMS SIRENA,30,30,40,"0,00%",,,22%,,"100,00%",,,1,10,,300,,,,12,0,,40,,"18,00",,"$18,00",,,180,"$18,00","26,80%","26,80%","0,00%",,,"$18,00","26,80%",24,PONER STATUS,,
200583000,1000152519,PLATO DESCARTABLE 20 CMS FUTBOL,30,30,60,"0,00%",,,22%,,"100,00%",,1,1,10,,300,,,,12,0,,60,,"23,00",,"$23,00",,,230,"$23,00","6,47%","6,47%","0,00%",,,"$23,00","6,47%",24,PONER STATUS,,
200593000,1000152521,PLATO DESCARTABLE 20 CMS SIRENA,30,30,,"0,00%",,,22%,,"100,00%",,,1,20,,600,,,,,0,,,COMPRAR,"23,00",,"$23,00",,,460,"$23,00","6,47%","6,47%","0,00%",,,"$23,00","6,47%",24,PONER STATUS,,
200535000,1000045467,PLATO ROSADO DE CARTON X6 UNID 18 CMS,30,30,40,"0,00%",,,22%,,"100,00%",,,1,10,,300,,,,12,0,,40,,"18,00",,"$18,00",,,180,"$18,00","26,80%","26,80%","0,00%",,,"$18,00","26,80%",24,PONER STATUS,,
200601000,1000152528,SERVILLETA 20 UNDS FUTBOL,30,30,40,"0,00%",,,22%,,"100,00%",,1,1,20,,600,,,,20,0,,40,,"27,00",,"$27,00",,,540,"$27,00","-9,80%","-9,80%","0,00%",,,"$27,00","-9,80%",24,PONER STATUS,,
200602000,1000152529,SERVILLETA 20 UNDS PANDA,30,30,50,"0,00%",,,22%,,"100,00%",2,7,4,50,,1.500,,,,20,0,,50,,"29,00",,"$29,00",,,1.450,"$29,00","-17,93%","-17,93%","0,00%",,,"$29,00","-17,93%",24,PONER STATUS,,
200584000,1000152530,SERVILLETA 20 UNDS SIRENA,30,30,60,"0,00%",,,22%,,"100,00%",,11,4,50,,1.500,,,,20,0,,60,,"29,00",,"$29,00",,,1.450,"$29,00","-17,93%","-17,93%","0,00%",,,"$29,00","-17,93%",24,PONER STATUS,,
200643000,1000261052,SERVILLETAS 12 UNIDADES ESPACIO,30,30,50,"0,00%",,,22%,,"100,00%",4,7,4,50,,1.500,,,REVISAR,20,980,REVISAR,50,,"29,00",,"$29,00",,,1.450,"$29,00","-17,93%","-17,93%","0,00%",,,"$29,00","-17,93%",24,PONER STATUS,,
200540000,1000045472,SERVILLETAS ESTAMPADAS CELESTE 20 UNID 33X33 C,30,30,50,"0,00%",,,22%,,"100,00%",,,1,10,,300,,,,20,0,,50,,"28,00",,"$28,00",,,280,"$28,00","-13,87%","-13,87%","0,00%",,,"$28,00","-13,87%",24,PONER STATUS,,
200541000,1000045473,SERVILLETAS ESTAMPADAS ROSADO 20 UNID 33X33 C,30,30,50,"0,00%",,,22%,,"100,00%",,3,1,20,,600,,,,20,0,,50,,"29,00",,"$29,00",,,580,"$29,00","-17,93%","-17,93%","0,00%",,,"$29,00","-17,93%",24,PONER STATUS,,
200551000,1000045483,SORBITOS CELESTES EN PAPEL 24 UNID,30,30,40,"0,00%",,,22%,,"100,00%",,1,1,20,,600,,,,24,0,,40,,"20,00",,"$20,00",,,400,"$20,00","18,67%","18,67%","0,00%",,,"$20,00","18,67%",24,PONER STATUS,,
200552000,1000045484,SORBITOS ROSADOS EN PAPEL X24 UNI,30,30,40,"0,00%",,,22%,,"100,00%",,1,1,10,,300,,,,24,0,,40,,"20,00",,"$20,00",,,200,"$20,00","18,67%","18,67%","0,00%",,,"$20,00","18,67%",24,PONER STATUS,,
200588000,1000152514,VELA DE CUMPLEA?OS SET 5 PCS PANDA,30,30,40,"0,00%",,,22%,,"100,00%",,,1,10,,300,,,,24,0,,40,,"28,00",,"$28,00",,,280,"$28,00","-13,87%","-13,87%","0,00%",,,"$28,00","-13,87%",24,PONER STATUS,,
200587000,1000152515,VELA DE CUMPLEA?OS SET 5 PCS SIRENA,30,30,40,"0,00%",,,22%,,"100,00%",,,1,20,,600,,,,24,0,,40,,"28,00",,"$28,00",,,560,"$28,00","-13,87%","-13,87%","0,00%",,,"$28,00","-13,87%",24,PONER STATUS,,
200642000,1000261053,VELAS DE CUMPLEANOS CON SOPORTE 12 UNIDADES,30,30,40,"0,00%",,,22%,,"100,00%",,2,1,10,,300,,,,24,0,,40,,"12,00",,"$12,00",,,120,"$12,00","51,20%","51,20%","0,00%",,,"$12,00","51,20%",24,PONER STATUS,,
200640000,1000261055,VELAS DE CUMPLEANOS SET 5 PCS ESPACIO,30,30,69,"0,00%",,,22%,,"100,00%",,,1,10,,300,,,,24,0,,69,,"28,00",,"$28,00",,,280,"$28,00","-13,87%","-13,87%","0,00%",,,"$28,00","-13,87%",24,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
