PROM_FECHA_INICIO,PROM_FECHA_FIN,ARTC_ARTC_COD,EVENTO_ID,PRONOSTICO_VENTA,STOCK_INICIAL_PROMO,GEOG_LOCL_COD,PROM_PVP_OFERTA,PROM_LOCAL_ACTIVO,PROM_ESTIBA
4/24/2025,4/27/2025,271226000,2518,,0,132,,1,0
4/24/2025,4/27/2025,300517000,2518,,0,139,530,1,0
4/24/2025,4/27/2025,271059000,2518,,0,140,,1,0
4/24/2025,4/27/2025,280134000,2518,,0,144,179,1,0
4/24/2025,4/27/2025,271021000,2518,,0,144,,1,0
4/24/2025,4/27/2025,270801000,2518,,0,150,,1,0
4/24/2025,4/27/2025,271226000,2518,,0,101,,1,0
4/24/2025,4/27/2025,270801000,2518,,0,132,,1,0
4/24/2025,4/27/2025,270801000,2518,,0,134,,1,0
4/24/2025,4/27/2025,340371000,2518,,0,147,349,1,0
4/24/2025,4/27/2025,280718000,2518,,0,151,149,1,0
4/24/2025,4/27/2025,271059000,2518,,0,151,,1,0
4/24/2025,4/27/2025,271021000,2518,,0,153,,1,0
4/24/2025,4/27/2025,300517000,2518,,0,159,530,1,0
4/24/2025,4/27/2025,270801000,2518,,0,103,,1,0
4/24/2025,4/27/2025,271245000,2518,,0,103,,1,0
4/24/2025,4/27/2025,270403000,2518,,0,104,,1,0
4/24/2025,4/27/2025,271059000,2518,,0,324,,1,0
4/24/2025,4/27/2025,300517000,2518,,0,327,530,1,0
4/24/2025,4/27/2025,340260000,2518,,0,151,349,1,0
4/24/2025,4/27/2025,340371000,2518,,0,101,349,1,0
4/24/2025,4/27/2025,280718000,2518,,0,104,149,1,0
4/24/2025,4/27/2025,300517000,2518,,0,104,530,1,0
4/24/2025,4/27/2025,340371000,2518,,0,108,349,1,0
4/24/2025,4/27/2025,270403000,2518,,0,117,,1,0
4/24/2025,4/27/2025,280718000,2518,,0,127,149,1,0
4/24/2025,4/27/2025,271245000,2518,,0,313,,1,0
